,company,transmission,fuel,seller_type,owner,year,km_driven,selling_price
0,maruti 800,Manual,Petrol,Individual,First Owner,2007,70000,60000
1,maruti wagon,Manual,Petrol,Individual,First Owner,2007,50000,135000
2,hyundai verna,Manual,Diesel,Individual,First Owner,2012,100000,600000
3,datsun redigo,Manual,Petrol,Individual,First Owner,2017,46000,250000
4,honda amaze,Manual,Diesel,Individual,Second Owner,2014,141000,450000
5,maruti alto,Manual,Petrol,Individual,First Owner,2007,125000,140000
6,hyundai xcent,Manual,Petrol,Individual,First Owner,2016,25000,550000
7,tata indigo,Manual,Petrol,Individual,Second Owner,2014,60000,240000
8,hyundai creta,Manual,Petrol,Individual,First Owner,2015,25000,850000
9,maruti celerio,Manual,CNG,Individual,First Owner,2017,78000,365000
10,chevrolet sail,Manual,Petrol,Individual,First Owner,2015,35000,260000
11,tata indigo,Manual,Petrol,Individual,First Owner,2014,100000,250000
12,toyota corolla,Automatic,Petrol,Dealer,First Owner,2018,25000,1650000
13,maruti 800,Manual,Petrol,Individual,First Owner,2007,70000,60000
14,maruti wagon,Manual,Petrol,Individual,First Owner,2007,50000,135000
15,hyundai verna,Manual,Diesel,Individual,First Owner,2012,100000,600000
16,datsun redigo,Manual,Petrol,Individual,First Owner,2017,46000,250000
17,honda amaze,Manual,Diesel,Individual,Second Owner,2014,141000,450000
18,maruti alto,Manual,Petrol,Individual,First Owner,2007,125000,140000
19,hyundai xcent,Manual,Petrol,Individual,First Owner,2016,25000,550000
20,tata indigo,Manual,Petrol,Individual,Second Owner,2014,60000,240000
21,hyundai creta,Manual,Petrol,Individual,First Owner,2015,25000,850000
22,maruti celerio,Manual,CNG,Individual,First Owner,2017,78000,365000
23,chevrolet sail,Manual,Petrol,Individual,First Owner,2015,35000,260000
24,tata indigo,Manual,Petrol,Individual,First Owner,2014,100000,250000
25,toyota corolla,Automatic,Petrol,Dealer,First Owner,2018,25000,1650000
26,maruti ciaz,Manual,Petrol,Dealer,First Owner,2015,24000,585000
27,hyundai venue,Manual,Diesel,Dealer,First Owner,2019,5000,1195000
28,chevrolet enjoy,Manual,Diesel,Individual,Second Owner,2013,33000,390000
29,jaguar xf,Automatic,Diesel,Dealer,First Owner,2014,28000,1964999
30,mercedes-benz new,Automatic,Diesel,Dealer,First Owner,2013,59000,1425000
31,maruti vitara,Automatic,Diesel,Dealer,First Owner,2018,4500,975000
32,audi q5,Automatic,Diesel,Dealer,First Owner,2011,175900,1190000
33,honda city,Manual,Petrol,Dealer,First Owner,2018,14500,930000
34,tata tigor,Manual,Petrol,Individual,First Owner,2018,15000,525000
35,audi a6,Automatic,Diesel,Dealer,First Owner,2013,50000,1735000
36,mercedes-benz new,Automatic,Diesel,Dealer,Second Owner,2012,33800,1375000
37,skoda superb,Automatic,Diesel,Dealer,Second Owner,2011,130400,450000
38,toyota corolla,Automatic,Petrol,Individual,First Owner,2016,50000,900000
39,toyota innova,Manual,Diesel,Individual,First Owner,2015,80000,1300000
40,jeep compass,Manual,Petrol,Individual,First Owner,2019,10000,1400000
41,mercedes-benz e-class,Automatic,Petrol,Dealer,First Owner,2010,119000,850000
42,hyundai i10,Manual,Petrol,Individual,Fourth & Above Owner,2014,60000,229999
43,bmw 3,Automatic,Diesel,Dealer,Second Owner,2013,75800,1550000
44,audi q7,Automatic,Diesel,Dealer,Third Owner,2009,78000,1250000
45,hyundai elantra,Manual,Diesel,Individual,First Owner,2012,40000,625000
46,mahindra scorpio,Manual,Diesel,Individual,First Owner,2014,50000,1050000
47,honda city,Manual,Diesel,Individual,Second Owner,2014,74000,560000
48,maruti wagon,Manual,Petrol,Individual,Second Owner,2014,64000,290000
49,maruti wagon,Manual,Petrol,Individual,Second Owner,2012,60000,275000
50,mahindra scorpio,Manual,Diesel,Individual,Second Owner,2009,120000,411000
51,hyundai santro,Manual,Petrol,Individual,Third Owner,2009,79000,150000
52,hyundai grand,Manual,Petrol,Individual,First Owner,2019,15000,500000
53,maruti alto,Manual,Petrol,Individual,First Owner,2006,80000,100000
54,maruti swift,Manual,Diesel,Dealer,First Owner,2017,18500,725000
55,maruti eeco,Manual,Petrol,Dealer,First Owner,2018,10200,401000
56,hyundai i20,Manual,Diesel,Dealer,First Owner,2018,29000,750000
57,maruti omni,Manual,Petrol,Dealer,First Owner,2018,28000,310000
58,maruti swift,Manual,Diesel,Dealer,First Owner,2016,46000,665000
59,hyundai i20,Manual,Diesel,Dealer,First Owner,2014,70000,465000
60,maruti alto,Manual,Petrol,Individual,Second Owner,2012,60000,160000
61,mahindra jeep,Manual,Diesel,Individual,Second Owner,1996,35000,250000
62,honda city,Manual,Diesel,Dealer,First Owner,2014,90000,675000
63,maruti wagon,Manual,Petrol,Dealer,First Owner,2013,80000,300000
64,tata indica,Manual,Diesel,Individual,First Owner,2005,80000,70000
65,hyundai eon,Manual,Petrol,Dealer,Second Owner,2014,73300,240000
66,toyota etios,Manual,Diesel,Dealer,First Owner,2014,92000,525000
67,maruti alto,Manual,Petrol,Dealer,Second Owner,2009,66764,151000
68,maruti alto,Manual,Petrol,Individual,First Owner,2009,100000,140000
69,chevrolet tavera,Manual,Diesel,Individual,Second Owner,2010,350000,280000
70,toyota corolla,Manual,Diesel,Individual,First Owner,2011,230000,350000
71,mahindra scorpio,Manual,Diesel,Individual,First Owner,2017,60000,570000
72,hyundai eon,Manual,Petrol,Individual,First Owner,2018,31000,300000
73,tata indigo,Manual,Diesel,Individual,First Owner,2007,39000,100000
74,toyota innova,Manual,Diesel,Individual,Third Owner,2009,120000,500000
75,tata indica,Manual,Diesel,Individual,Fourth & Above Owner,2014,166000,125000
76,maruti swift,Manual,Petrol,Individual,Third Owner,2006,110000,130000
77,ford ecosport,Manual,Diesel,Individual,First Owner,2017,35000,925000
78,maruti ciaz,Manual,Diesel,Individual,First Owner,2018,60000,750000
79,honda civic,Automatic,Petrol,Individual,Second Owner,2007,54000,200000
80,hyundai i10,Manual,Petrol,Individual,Second Owner,2010,63000,248000
81,skoda rapid,Manual,Diesel,Individual,Second Owner,2014,120000,450000
82,hyundai getz,Manual,Petrol,Individual,Third Owner,2005,120000,80000
83,nissan terrano,Manual,Petrol,Individual,Second Owner,2014,76000,650000
84,hyundai grand,Manual,Diesel,Individual,First Owner,2015,80000,450000
85,hyundai elite,Manual,Diesel,Individual,First Owner,2019,25000,650000
86,honda amaze,Manual,Petrol,Dealer,First Owner,2016,11958,495000
87,honda brio,Manual,Petrol,Dealer,First Owner,2015,20000,371000
88,hyundai creta,Manual,Petrol,Dealer,First Owner,2017,9000,1025000
89,mercedes-benz s-class,Automatic,Diesel,Dealer,First Owner,2017,6500,8150000
90,mahindra xuv500,Manual,Diesel,Individual,First Owner,2015,70000,750000
91,renault duster,Manual,Diesel,Individual,First Owner,2013,120000,600000
92,hyundai santro,Manual,Petrol,Dealer,Second Owner,2007,58000,80000
93,mahindra bolero,Manual,Diesel,Dealer,First Owner,2013,62200,325000
94,audi a6,Automatic,Diesel,Dealer,Second Owner,2014,34000,1470000
95,fiat avventura,Manual,Diesel,Individual,Second Owner,2015,53000,350000
96,audi a8,Automatic,Diesel,Dealer,First Owner,2013,49000,2800000
97,datsun redigo,Manual,Petrol,Dealer,Second Owner,2017,15000,210000
98,volkswagen jetta,Manual,Petrol,Individual,First Owner,2013,50000,450000
99,audi a4,Automatic,Diesel,Dealer,First Owner,2013,53000,1150000
100,honda civic,Automatic,Petrol,Dealer,First Owner,2009,63500,210000
101,mercedes-benz e-class,Automatic,Petrol,Dealer,First Owner,2018,9800,4500000
102,bmw x1,Automatic,Diesel,Individual,First Owner,2017,13000,2750000
103,volvo v40,Automatic,Diesel,Dealer,First Owner,2018,21000,1975000
104,maruti sx4,Manual,Petrol,Dealer,First Owner,2008,29173,175000
105,bmw 7,Automatic,Diesel,Dealer,First Owner,2012,48000,2500000
106,mahindra bolero,Manual,Diesel,Individual,First Owner,2017,120000,628000
107,hyundai sonata,Manual,Diesel,Individual,First Owner,2010,100000,600000
108,nissan micra,Manual,Petrol,Individual,First Owner,2017,30000,399000
109,mahindra xylo,Manual,Diesel,Individual,First Owner,2018,87000,750000
110,hyundai elite,Manual,Petrol,Individual,First Owner,2019,15000,750000
111,renault kwid,Manual,Petrol,Individual,First Owner,2017,16000,315000
112,mahindra xylo,Manual,Diesel,Individual,First Owner,2012,60000,600000
